Participant,l_fit,beta,tau,NLL,AIC
44r44zmrtvl59ml3llcql4w4,19.31357869256132,0.4938267433127871,0.06850327025714459,974.9859388602976,1955.971877720595
sstr63rwvsmz36hmqs6hzzvs,11.638490845644263,0.0890373682610794,0.06877087233742143,816.3504766288602,1638.7009532577204
4qrwq53mslq4cr4vsrt6946c,0.7005949459611351,0.04264933738567006,0.0203637738925986,298.19035893225276,602.3807178645055
43rzq63t93hsl5ccc9369s5z,14.075511671114732,0.006737946999085467,0.0712374970729659,953.5244902115041,1913.0489804230083
6mtzhvrqrcs3rq3vhhrr5c43,14.113251260412007,0.03827994535003577,0.06710714309507396,941.4747221641151,1888.9494443282301
tstr6t4hc5s3z6r4vmhz366q,0.703779016765263,0.2121378664640253,0.04042849029847997,490.97827955649353,987.9565591129871
5ctz9lwc6rt9c64rztwr6rzm,12.401155304958467,0.20430438881380458,0.06532269606867078,980.9883543417077,1967.9767086834154
4zr94h9h9369rmm6h6lq349v,0.7362480729624801,0.1038966841751092,0.03544587148539944,470.05579774508004,946.1115954901601
4wrzqq5v5hthcvw6q933l4lm,17.246865118116403,0.006737946999085467,0.06174853923408362,988.6184159843046,1983.2368319686093
w6t369hrcqztq4994tvhmmzr,0.7737505149546997,0.09849874003274321,0.04148234387379764,570.6608639890549,1147.3217279781097
4qrs4qcwwtz9qchr33lqz43h,18.775292705603583,0.36261228570298304,0.05908387137212332,937.7984943081225,1881.596988616245
4rrm4tcchtl49z3w3z63h4v6,2.039651473041639,0.10709077956364163,0.04499388401798783,644.7286893717013,1295.4573787434026
46r64hhtvsz9rmrscrcqz4vv,4.461143690260619,0.006737946999085467,0.06001301615539848,579.7663640358584,1165.5327280717167
mvtr3v5q95zl6qlv4ws93tcs,19.248220174117975,0.21684870774636278,0.06652094109251502,932.7191367650154,1871.4382735300308
4ztz9cwlhttm9qqh4tmvwc5h,23.57870198740219,0.4977749588127468,0.05884201276752233,887.93354204601,1781.86708409202
lzrhwclcm4mlvc9lmvlwswht,15.470781233315307,0.1928257282326607,0.07158290246905971,953.150007445339,1912.300014890678
4tr9q9qmszw33vhmv33t54w4,24.89660412552597,0.12161312104693334,0.06350174299905059,1004.4020156295041,2014.8040312590083
qht6z65mss65t4rmq9llszth,20.02405746209322,0.42397302615041355,0.06438647728459945,698.237309192092,1402.474618384184
44r54szvvth99l4mt4qqt4qw,0.42000285356960076,0.39827141403590194,0.08112345180221386,866.6841994497177,1739.3683988994353
4sr34wwcvzvr33l9t4vq64l4,11.604897757868734,0.5653008010295957,0.06535690290490115,839.393713327828,1684.787426655656
4wr6365m5ztv35vswq3436ws,18.007707533605306,0.43186924077156885,0.06271842333123337,920.0055058256901,1846.0110116513802
4wrz49rt3wv4qvm36r5q649z,2.5707940452025015,0.12420234329218971,0.05610790257586945,791.6406164044413,1589.2812328088826
6vrm99wzvh35rzsrvwwtrczt,10.714658264544695,0.006737946999085467,0.05933919783623924,722.3843375831555,1450.768675166311
vqtlrhrrsr53m4m45mrmr9m9,22.475310887503923,0.25953466082957116,0.049081345774678604,849.7870592292294,1705.5741184584588
4trzqwcv6649tczrrlq3l466,15.099521470563978,0.1971199087031068,0.05725244617390599,884.3075536848378,1774.6151073696756
49r64m9sqmlc9t5wq69tq463,12.342842476198904,0.006737946999085467,0.06944943527475975,941.5036538907251,1889.0073077814502
9wtlzmtvw495v6cc6c5r4s44,0.8752164086836474,0.10860080255921795,0.040376062130901086,691.5637295952874,1389.1274591905749
qzr5q3z6vsvwl5m9z34zz3hw,13.328653859672489,0.2133407486319368,0.05657079090166321,779.4926764103253,1564.9853528206506
4zrzqhwwszcmlvz4s6lwz4c5,10.425951561205537,0.006737946999085467,0.035653606496333146,588.927011567574,1183.854023135148
vhtq5zchhvrm3664zr3hc65m,5.972068345503453,0.27003484641413944,0.057739779006262974,762.3070615150161,1530.6141230300323
45r94sc4rsvlt3hhqs4q345m,0.6781100776495494,0.06935654141891319,0.014517998922643292,220.53370588266418,447.06741176532836
4crr4qcqz5vrls4vrqwqh4ms,16.51196968002165,0.5361111730966597,0.06762907009449794,929.0592351245325,1864.118470249065
4wr3qqvq3w95wcc9t9wlw4c6,21.95118497922048,0.27951547576664637,0.05173081094907449,854.7598080772416,1715.5196161544832
clt4966zmmz654t3l93l4sw9,3.3621023680490363,0.4933460927547907,0.05935234752739722,763.1936130038168,1532.3872260076337
99tqcvrwlszs949zhlrcmvmr,3.889014951385326,0.006737946999085467,0.04919506608153172,660.5694171721327,1327.1388343442654
4rr9qh39lwrvlvwm654r54w9,0.8308824806439921,0.2367851637982707,0.047690624409238665,623.9525891084105,1253.905178216821
cct6cllh9wtqm6t54r6cw3qr,0.6257476730323752,0.17015848249344057,0.043328580283071697,619.2942359515615,1244.588471903123
t5tt6vltm3939qtmv3qmvw49,0.5825252365496818,0.0980010364026551,0.02908254655119047,379.97794703352486,765.9558940670497
33tm3r9vwlrzs4mzrrvhcqsz,20.564879798028343,0.2937287007116132,0.07097391304510356,977.4006501704876,1960.801300340975
4crcq3h3zslclv6qwmz6s453,11.761738868648317,0.006737946999085467,0.05207909892346301,685.9937440864862,1377.9874881729725
4crrtql9ctwwz5cwzvs3c5ql,6.787461908504013,0.006737946999085467,0.06837897050494779,860.4472344147932,1726.8944688295865
64rqchzrzww3m5hs495l3qzs,21.108199709866007,0.4051765341171093,0.046574209321035925,818.4126021238567,1642.8252042477134
4hr44lch6vl5hmm9vm5ql4c3,12.591963040695308,0.006737946999085467,0.06256259267107173,900.0604827025082,1806.1209654050165
z3t64h494tq9r4mz3vl434v6,8.613400884974048,0.014369130576720455,0.07019660671190234,899.5537242840088,1805.1074485680176
4qr34shqmq5m43m6wh9qs45c,17.21370892193869,0.3843098725884083,0.06469598474436264,963.8713783222393,1933.7427566444785
4vrt4t9z9htr9lrhtmvq544c,16.594546354870175,0.42668282723344547,0.06596093317759216,892.588690932715,1791.17738186543
69thlzq3366qhql653rwrzqs,13.285782863263274,0.49376280004183604,0.060193717862732095,908.2977718175172,1822.5955436350343
hrthcltvhqlcm6mvc4w63tq9,23.038586661290324,0.2959001549274074,0.04844602556769535,844.9458350992887,1695.8916701985775
46r34h9tqw9vrshhw96qc4zr,3.680728700238423,0.36668142972912326,0.04437412633728306,665.3229585628768,1336.6459171257536
66tmzww45vw9c4h39c4r6rq6,8.278524511719533,0.006737946999085467,0.062390767230710964,853.3483478898839,1712.6966957797679
4crs4vmc4h55qvqmls4qh453,15.602077645079547,0.17055484533204726,0.047620587677062426,708.1095504397612,1422.2191008795223
cvt4th9vcshr6q559w46z46l,9.814462109959976,0.07861628405440341,0.06473961502456373,898.9836873535053,1803.9673747070105
qsrrv9r399hl655wqmshwc4v,11.232591960765236,0.9047169479880596,0.06603175759905931,886.1324308191945,1778.264861638389
hqt4zv39rr49qhvz6lqwtmqh,2.960102484860058,0.13945057713423836,0.06159943647909742,687.1802873436715,1380.360574687343
cqtr9mqwmqrqqhr45z6qtqw4,11.765927383655725,0.3563069830635638,0.06212953834990417,803.126621746979,1612.253243493958
twtv6434qrh3z6ql5m4h336z,6.324292024340272,0.5588627088761471,0.06238869189566652,814.7343793058992,1635.4687586117984
3ht5m4wcczzcl6z96zwr3tc9,14.406070255773862,0.006737946999085467,0.07336342347910832,988.3545505383763,1982.7091010767526
4wrt49z64cvts3c339cq34hm,11.907115671739515,0.5446614172257399,0.0642196197127068,899.8582008835434,1805.7164017670868
4rr4qr63tqww5vrsqtrwv46s,17.943229156357045,0.24970888419738857,0.060456303549826,866.1061576350958,1738.2123152701915
4lr5qc94z3lrhc9z6rl3s4mr,22.654815840152935,0.42940593856749737,0.0505385888929598,854.0204408257829,1714.0408816515658
99tm56rwzr5lqh6z6mscq9h9,0.614323543409104,0.1335307408645477,0.03412520414519177,487.3473364565449,980.6946729130898
43rc55sq9l34z5vlrvrwttm4,14.971824143004344,0.2419605421088139,0.05790564815918148,886.259357033596,1778.518714067192
wwt4t66hszzzc6qmz3zwv9rm,2.466953618006606,0.006737946999085467,0.04543244193533827,561.1518942353173,1128.3037884706346
h5tzm4r4mwm5rq33q4tvlzzm,16.060570260180683,0.1172170390803102,0.05524588684130359,895.840983397719,1797.681966795438
4crr4rvsz6rtr39v3s6qv4sh,24.879516904478322,0.39696151929083523,0.0547145386310933,865.9351106700725,1737.870221340145
4cr35cv3hm453593w345v9vl,2.434802032166166,0.006737946999085467,0.044188021295428745,627.661998770108,1261.323997540216
4trz4wrwrvz5rml3mc4qs4z5,9.571007187237077,0.006737946999085467,0.044646418278751716,642.3825629909553,1290.7651259819106
4mr6q4wzhltzrch3tr5w64h4,0.9364501577468166,0.1802466128992622,0.05438328338624407,780.3125604586452,1566.6251209172904
4zr445z6zvcssmt9qmzq64mr,0.43450771091014934,0.5152185915139595,0.09655158167127548,782.6707763817348,1571.3415527634695
t3t65tm94r4tz4sqqc4rs65m,8.261368741999764,0.006737946999085467,0.06494585132048955,909.2469172522026,1824.4938345044052
45rc4sz355c3clzl9srqz46t,10.114423783311178,0.02563168004898355,0.06262606598372299,839.7346296846893,1685.4692593693785
54tzz44zm4q5hqwcvtqrttvt,0.2774459762599048,0.4377935490195687,0.08148061629728337,800.8751918069587,1607.7503836139174
s5tw9zrwsrcw36s3hqwrtctl,10.211880985263011,0.006737946999085467,0.047276322717416816,713.5084284350429,1433.0168568700858
rrtss5zs9vmt64hs4vc336hm,13.667401269503129,0.2765184615698819,0.08513677423717234,977.5528453644295,1961.105690728859
4lr4463vlcz96l5wwt3qq44l,10.7466519846314,0.19017564344683743,0.06599537548528085,817.6391126467072,1641.2782252934144
sctczct35sslc4sr9hll3vcs,11.673049620018801,0.24866516932609678,0.06740838823332429,944.8980831244007,1895.7961662488015
45r54qzzhltztvhwrhmq646m,16.202333355733288,0.2019966068334329,0.06558050468415962,944.9677391695715,1895.935478339143
h4r43mwzz964cc63599z6clq,15.900386467130685,0.13671379253112415,0.06078655991078202,941.3503610639615,1888.700722127923
q4r34cr6mq3zmcmqmmt5rqmc,0.7272172694300765,0.1844209335604689,0.043396500483017304,638.1552929772813,1282.3105859545626
sqt9h63wz6c6w6s545thmml5,20.6518324956671,0.34532312500429396,0.06041083433268327,866.884165228494,1739.768330456988
q5trh6qlcv3sh4w6whvws9lt,4.525927912114346,0.006737946999085467,0.06275414173363811,769.4051791108527,1544.8103582217054
h6rq4lm53rhrq5m39mhm4rt5,0.684263604514048,0.11878616167999284,0.03173031011427696,477.2307424054494,960.4614848108988
rttlzthh5vlsqh5r3hqmzlmw,6.825888922005259,0.006737946999085467,0.06307108532840947,860.2432145581022,1726.4864291162044
56ts943rqw34c6m3hl3zh4lh,16.102425794131186,0.39168281408093986,0.055578411267180966,798.406596149368,1602.813192298736
6ztt3vwh555rqqwt9vstqsmz,22.789088703409394,0.3496124603423374,0.059493194952541364,887.9726651624437,1781.9453303248874
3vtqhqwww6vqhqz4c4zm46lw,0.5235467242655756,0.18434094044805732,0.04277676898563376,469.152563614855,944.30512722971
sttm39wmrr9wqqqlvz6srv66,1.3956643284577224,0.006737946999085467,0.047580630160054024,730.6033057815251,1467.2066115630503
m4r649cthqzchz3rmc6zczqz,0.6242431690639061,0.16552494170184073,0.03499274164973497,456.61680348055563,919.2336069611113
z9t4qqr64trmqhr4lwczt4ms,0.6033054003450271,0.21458799551219934,0.044666156253261376,632.0683733859646,1270.1367467719292
qzrmqwl9l5wrv565vt3zc9rl,17.94045991787869,0.21370333817566117,0.05780705604888668,913.4091641101357,1832.8183282202715
shtc6vsrvtc4z6lslcl3lc3c,20.445446009524183,0.31861022131712025,0.06691783635907456,970.1235443099504,1946.2470886199008
vstz4lt9thtss6h9cz346z4z,17.655797716375798,0.5786115823931961,0.06604056873654696,884.5870432951242,1775.1740865902484
4mrt46q9stlw6cs6vt3qv44t,0.5875820581078657,0.12308706978165611,0.031027909360500955,356.6828827816603,719.3657655633206
4hrz496cqvc6rlqzr6hq94rz,16.416841351953764,0.1338049541238017,0.06173615544096535,825.293451878982,1656.586903757964
44rh44tmsm4r53rz6mhq6434,13.28724702587594,0.006737946999085467,0.057395125880820484,694.6900613509098,1395.3801227018196
9cr3qc53hwscw5r4wcwqcwqh,10.270786757834909,0.513998713516496,0.0576560344251808,780.8639035490869,1567.7278070981738
4qr6qmlszmhc9t5wqqh64463,22.434988967961804,0.29928382715926405,0.059438681147397004,941.7081035711951,1889.4162071423902
4mrh4rmqslm99wq5r95t44vm,15.220335170251076,0.4059581886100996,0.08284308497825163,951.6995415190918,1909.3990830381836
9zr5w4r3rmwrc5s3vshz4q5z,7.503321675491466,0.4149404066544643,0.06411200799740054,754.5806451036539,1515.1612902073077
m3tqh6zvvch66qchwsz5cmmt,15.248999159615085,0.08038161252904377,0.055344785093251934,858.8338591272335,1723.667718254467
l5t53qmrsc3lm65s54q6q66q,9.557040942331533,0.206499248085124,0.07751270710662084,937.3787180898787,1880.7574361797574
t9rh99vlhqlhhzmv4q5msqlh,1.0345335323949285,0.10454826947576631,0.03319591239568135,576.328185580413,1158.656371160826
vctr4q4t939tz6lczmw6zwv9,0.7343873094234779,0.290230473318404,0.05932437665637336,753.7350461011156,1513.4700922022312
trtr6v9z9qwtm6r5q9scch34,22.391283875877903,0.3309529390740029,0.06900346260618175,1010.072815920535,2026.14563184107
q3t9mwv36z5vc6m6vrml99tq,8.879267914954143,0.2750257299897808,0.06574693550058161,896.1804102026556,1798.3608204053112
cctt45lhtvh6w6whh3twwlml,14.09380691596132,0.15902787242353314,0.06584836944089877,872.626683405088,1751.253366810176
v6tcmmm5lzw456mrc4qq4q5v,0.7856992087533492,0.1300513311061544,0.03296748124423313,513.169615846083,1032.339231692166
rrt6wq964hstm64qthlr4h64,1.7336416326513762,0.20961065996422817,0.05502927933429064,678.7252284335705,1363.450456867141
