subject_id,l_fit_e,beta_e,tau_e,optimal_NLL
44r44zmrtvl59ml3llcql4w4,19.472239179566188,1.974937242567151,0.06921722911534861,954.7791683917761
sstr63rwvsmz36hmqs6hzzvs,11.63069555495213,0.3407542614245056,0.06922403154823617,817.0497504731413
4qrwq53mslq4cr4vsrt6946c,5.040806412536965,0.017008565774520285,0.03819793516495422,507.9669724764841
43rzq63t93hsl5ccc9369s5z,14.820143445524206,0.2799276258626294,0.07116323663289145,955.514858910869
6mtzhvrqrcs3rq3vhhrr5c43,14.682055904805193,0.9340020139986878,0.06785868419751423,938.1358741990612
tstr6t4hc5s3z6r4vmhz366q,0.7512143564637999,0.1876462224666987,0.04022793365659767,489.05531869072735
5ctz9lwc6rt9c64rztwr6rzm,12.658081180224723,0.8619069016581798,0.06602422445339105,978.3969614411169
4zr94h9h9369rmm6h6lq349v,0.7563016709945298,0.08864589671122358,0.03558718808750004,508.08785649128055
4wrzqq5v5hthcvw6q933l4lm,17.26475849721342,0.006737946999085467,0.061751141480261465,988.5684610061736
w6t369hrcqztq4994tvhmmzr,0.9423963551408233,0.06570670397913948,0.04206583196104208,570.8252803316211
4qrs4qcwwtz9qchr33lqz43h,18.906769978375607,1.8298805711518034,0.05997663654303103,922.0533194179762
4rrm4tcchtl49z3w3z63h4v6,1.0181120198663687,0.1716795896267384,0.04306899123080821,656.7818417509442
46r64hhtvsz9rmrscrcqz4vv,1.8084208751298925,0.2323862987409444,0.056122569312475515,574.8293940735496
mvtr3v5q95zl6qlv4ws93tcs,20.315326340024477,2.213445354508571,0.06591142785278428,907.9217672599609
4ztz9cwlhttm9qqh4tmvwc5h,23.050288389798613,1.5819262187023642,0.060894582897575045,878.622776936192
lzrhwclcm4mlvc9lmvlwswht,15.551993843713111,0.8892968576508153,0.07233069266969147,950.1979024136479
4tr9q9qmszw33vhmv33t54w4,26.770035439707087,1.8626805087173919,0.062342269895531814,975.0924565645518
qht6z65mss65t4rmq9llszth,20.551437485874224,0.628581936306457,0.06511628106541151,701.4101371924255
44r54szvvth99l4mt4qqt4qw,0.43392026690172764,0.4075595335339471,0.08151614953727548,841.9087292665754
4sr34wwcvzvr33l9t4vq64l4,11.580179213499864,0.8205057804895322,0.0665095642685586,838.2715802885909
4wr6365m5ztv35vswq3436ws,17.934641002144772,1.5432697603462966,0.06422230625959925,909.1983344188959
4wrz49rt3wv4qvm36r5q649z,2.287977633434445,0.15346444147432614,0.05630912073180211,788.507750582767
6vrm99wzvh35rzsrvwwtrczt,10.27694542396098,0.37331866040859635,0.05867235333797653,712.9162759718787
vqtlrhrrsr53m4m45mrmr9m9,22.63700434482653,1.063699571260007,0.04967224282411632,825.2685582459716
4trzqwcv6649tczrrlq3l466,15.552184504773184,1.054451826263232,0.0581246753306672,879.3685984600276
49r64m9sqmlc9t5wq69tq463,12.756557928103291,1.1529223240506798,0.06976055438294362,933.3594661264142
9wtlzmtvw495v6cc6c5r4s44,0.9130704072751155,0.10196238990115641,0.04079091206434024,712.9123402126402
qzr5q3z6vsvwl5m9z34zz3hw,13.334644574636517,0.20056363038568947,0.05673455990556345,780.1239219248965
4zrzqhwwszcmlvz4s6lwz4c5,10.449002363439794,0.006737946999085467,0.03566037306055121,589.717565657774
vhtq5zchhvrm3664zr3hc65m,5.87289346336565,0.4955914614711019,0.0580951926412035,759.0191264378919
45r94sc4rsvlt3hhqs4q345m,0.6934878211525832,0.06351328420094,0.014587526233718269,221.4158450263859
4crr4qcqz5vrls4vrqwqh4ms,16.427481642667388,1.0084766818001585,0.06886335522468587,925.842394714925
4wr3qqvq3w95wcc9t9wlw4c6,22.110536269453156,1.7978867483971968,0.052689525735171695,838.8442845987048
clt4966zmmz654t3l93l4sw9,1.8188509998303493,0.12996032035799993,0.058321697345147326,758.3395872014171
99tqcvrwlszs949zhlrcmvmr,1.612894598760822,0.23173658294085175,0.04626684087035066,672.4402187605591
4rr9qh39lwrvlvwm654r54w9,1.0388490311788205,0.20578171256409333,0.0483251686353107,610.8692953631632
cct6cllh9wtqm6t54r6cw3qr,0.5723590901167435,0.17074059744931658,0.04529196503165131,604.1550262501208
t5tt6vltm3939qtmv3qmvw49,0.5759780263249552,0.09597389748813255,0.02935619844689282,381.9085126633552
33tm3r9vwlrzs4mzrrvhcqsz,21.78838960998353,1.7460546459210504,0.07094834852165186,962.4318116415876
4crcq3h3zslclv6qwmz6s453,11.778750547671589,0.006737946999085467,0.05170404665627566,679.84432946286
4crrtql9ctwwz5cwzvs3c5ql,6.79503429787759,0.13408762840726143,0.06863554573334568,866.1126186505093
