Participant,l_fit,beta,tau,NLL,AIC
44r44zmrtvl59ml3llcql4w4,19.760402879090016,1.7003740995969472,0.06904128049582399,962.0504801653145,1930.100960330629
sstr63rwvsmz36hmqs6hzzvs,11.619161533354252,0.09997154381648835,0.06901250241685929,817.1037367977108,1640.2074735954216
4qrwq53mslq4cr4vsrt6946c,8.80640978493514,0.006737946999085467,0.0562906419321816,554.5990024450963,1115.1980048901926
43rzq63t93hsl5ccc9369s5z,14.208600842897294,0.006737946999085467,0.07118889027105835,955.0052838190076,1916.0105676380151
6mtzhvrqrcs3rq3vhhrr5c43,14.853781594297079,0.7948019430476141,0.06759006008329535,939.3954502688182,1884.7909005376364
tstr6t4hc5s3z6r4vmhz366q,0.8440374080606168,0.14705308683272228,0.04179126070255863,487.2755462261231,980.5510924522462
5ctz9lwc6rt9c64rztwr6rzm,12.605815913520608,0.5076194677341617,0.06585848916667547,981.2620393501336,1968.5240787002672
4zr94h9h9369rmm6h6lq349v,0.804697610106133,0.07372164831392947,0.03579193368648716,461.04614684605025,928.0922936921005
4wrzqq5v5hthcvw6q933l4lm,17.266891721854158,0.006737946999085467,0.061753546525251085,988.5859648421797,1983.1719296843594
w6t369hrcqztq4994tvhmmzr,1.0147876296020857,0.041679025631671376,0.04219000598692675,563.3514976672458,1132.7029953344916
4qrs4qcwwtz9qchr33lqz43h,19.094925675911604,1.541476391094256,0.0599439560054231,925.5468852799646,1857.0937705599292
4rrm4tcchtl49z3w3z63h4v6,1.0350161087199339,0.1387881699922504,0.044072546246336955,646.7305637345721,1299.4611274691442
46r64hhtvsz9rmrscrcqz4vv,1.9373724081304387,0.17591360782835527,0.057457717950433806,575.0826340109296,1156.1652680218592
mvtr3v5q95zl6qlv4ws93tcs,20.67782535862333,2.156352914791667,0.0657071021337748,906.1714902839446,1818.3429805678893
4ztz9cwlhttm9qqh4tmvwc5h,23.04260010689727,1.4635136218848848,0.060872482994320826,879.8691882684171,1765.7383765368343
lzrhwclcm4mlvc9lmvlwswht,15.743204453754366,0.6932639469451789,0.0720491659110496,951.1983839374665,1908.396767874933
4tr9q9qmszw33vhmv33t54w4,27.00047420472119,1.7772379784154595,0.06226438900520227,975.2955647530644,1956.5911295061287
qht6z65mss65t4rmq9llszth,20.462538745208885,0.5603818735697849,0.06506315941630356,703.709225615998,1413.418451231996
44r54szvvth99l4mt4qqt4qw,0.42996742180262065,0.42747309276343554,0.09538879763398331,882.2574969517289,1770.5149939034577
4sr34wwcvzvr33l9t4vq64l4,11.63276849181092,0.6557303758761063,0.06633323680430048,839.3782112205233,1684.7564224410467
4wr6365m5ztv35vswq3436ws,18.180655291370947,1.5756997394190302,0.06397612348184467,907.1130532563698,1820.2261065127395
4wrz49rt3wv4qvm36r5q649z,2.4066925216585506,0.10439906619451975,0.05702965602677447,790.436488615001,1586.872977230002
6vrm99wzvh35rzsrvwwtrczt,5.893197541692548,0.27607494855962295,0.056187578501047414,700.7354444780818,1407.4708889561637
vqtlrhrrsr53m4m45mrmr9m9,22.63075569775716,0.7879057127086642,0.0501186767057801,837.0101198843757,1680.0202397687515
4trzqwcv6649tczrrlq3l466,15.69386335782595,0.8869975943341317,0.05793185087480622,880.6650439830003,1767.3300879660005
49r64m9sqmlc9t5wq69tq463,12.817433507678759,0.7935971145295652,0.06965541918645576,936.9822676653502,1879.9645353307003
9wtlzmtvw495v6cc6c5r4s44,9.851587381290889,0.10022670475639134,0.04926548717206901,719.2600446220528,1444.5200892441055
qzr5q3z6vsvwl5m9z34zz3hw,13.327848820361485,0.14990643591589584,0.05667481396565584,780.1298637044546,1566.2597274089092
4zrzqhwwszcmlvz4s6lwz4c5,10.447695501569173,0.006737946999085467,0.03565963502205701,589.8483208787915,1185.696641757583
