Participant,l_fit,beta,tau,NLL,AIC
44r44zmrtvl59ml3llcql4w4,19.262024561312785,1.5025560315767266,0.06897418110674469,956.5798522788225,1919.159704557645
sstr63rwvsmz36hmqs6hzzvs,11.627407599173736,0.3787831996630503,0.06927770116295416,815.4493663224243,1636.8987326448487
4qrwq53mslq4cr4vsrt6946c,0.7437809692902995,0.022378189031839177,0.02036637466248495,461.1261057591514,928.2522115183028
43rzq63t93hsl5ccc9369s5z,14.210386592890867,0.006743909160858293,0.07117076885525812,955.1466474405894,1916.2932948811788
6mtzhvrqrcs3rq3vhhrr5c43,14.898651324489435,0.7903578231353259,0.06767020767442988,938.0279699417677,1882.0559398835353
tstr6t4hc5s3z6r4vmhz366q,1.2666748116145803,0.06830163828317543,0.042429697997672274,496.4129010589685,998.825802117937
5ctz9lwc6rt9c64rztwr6rzm,12.774359238453487,0.6669040822267338,0.06600274420618854,975.9732039754425,1957.946407950885
4zr94h9h9369rmm6h6lq349v,0.7966540906681594,0.06129687692284558,0.03581223794233909,450.9370923695606,907.8741847391212
4wrzqq5v5hthcvw6q933l4lm,17.278987950671457,0.006737946999085467,0.06175247092016119,988.5209092873357,1983.0418185746714
w6t369hrcqztq4994tvhmmzr,1.0701122006550339,0.04348485282332273,0.042052568248102766,578.8335271487394,1163.667054297479
4qrs4qcwwtz9qchr33lqz43h,19.024578001179478,2.0758192463723435,0.06085080307652735,913.8289256154528,1833.6578512309056
4rrm4tcchtl49z3w3z63h4v6,1.010624016282812,0.12501798960979002,0.04370158035879536,663.5813437779666,1333.1626875559332
46r64hhtvsz9rmrscrcqz4vv,1.6892738502860736,0.15919485648578818,0.05593427500195714,586.0673936271983,1178.1347872543965
mvtr3v5q95zl6qlv4ws93tcs,21.451500341846945,2.6456216166409674,0.06602283536493352,893.7794180075584,1793.5588360151169
4ztz9cwlhttm9qqh4tmvwc5h,22.928001361763563,1.8526717682176552,0.06219750615931771,871.065662016323,1748.131324032646
lzrhwclcm4mlvc9lmvlwswht,15.514442206225326,0.6734123368724334,0.07195174430899881,949.136968857387,1904.273937714774
4tr9q9qmszw33vhmv33t54w4,27.916117547288355,2.101920709683627,0.062256417229279534,965.2119361739979,1936.4238723479957
qht6z65mss65t4rmq9llszth,20.821616073343634,0.6503820920776738,0.0654961675204631,709.1438671884846,1424.2877343769692
44r54szvvth99l4mt4qqt4qw,0.43404865927698466,0.27296349148484145,0.08189327048471017,858.4477450043239,1722.8954900086478
4sr34wwcvzvr33l9t4vq64l4,11.47840637338712,0.8334984518456849,0.06608965883058857,834.3309828265494,1674.6619656530988
4wr6365m5ztv35vswq3436ws,18.050141090153765,1.6323245510749729,0.06504999545961604,904.3987553638945,1814.797510727789
4wrz49rt3wv4qvm36r5q649z,2.3436945938691016,0.10606213935868271,0.05684264668858207,789.7730628448297,1585.5461256896594
6vrm99wzvh35rzsrvwwtrczt,10.479918694745342,0.3266953698969888,0.059729953089131704,719.8297930326545,1445.659586065309
vqtlrhrrsr53m4m45mrmr9m9,22.67600415326163,1.0221651199251083,0.05078071049872679,823.6943376363938,1653.3886752727876
4trzqwcv6649tczrrlq3l466,16.052023546029552,1.0461413899009342,0.05848832174601335,875.2015162764104,1756.4030325528208
49r64m9sqmlc9t5wq69tq463,13.08385883307923,1.2287749559799535,0.0694259563864159,929.1175124406332,1864.2350248812663
9wtlzmtvw495v6cc6c5r4s44,10.033460336160942,0.1383523740717831,0.050250334280787505,719.1092887160746,1444.2185774321492
qzr5q3z6vsvwl5m9z34zz3hw,13.336216562934101,0.17352767359741608,0.05667105527422135,779.9354023811113,1565.8708047622226
4zrzqhwwszcmlvz4s6lwz4c5,10.5114432165852,0.006737946999085467,0.03611253869192986,617.6911831349677,1241.3823662699353
vhtq5zchhvrm3664zr3hc65m,5.846402614352587,0.5678700120669578,0.05821001241798753,757.9188213890478,1521.8376427780956
45r94sc4rsvlt3hhqs4q345m,0.6937329489326802,0.04231085468782238,0.014587793957313955,220.88746733532497,447.77493467064994
4crr4qcqz5vrls4vrqwqh4ms,16.484883187935246,1.0229149792332488,0.06922978701960861,923.669765276738,1853.339530553476
4wr3qqvq3w95wcc9t9wlw4c6,22.302162998929987,1.8996428591762768,0.05352068860988179,828.9821038663272,1663.9642077326544
clt4966zmmz654t3l93l4sw9,1.7045500324727612,0.1671705502264344,0.05766823919502398,756.4106964891878,1518.8213929783756
99tqcvrwlszs949zhlrcmvmr,1.6550319798567883,0.17782621007695235,0.04616617275868666,658.2888771429474,1322.5777542858948
4rr9qh39lwrvlvwm654r54w9,1.2542354868000158,0.15972536370415197,0.04847667352054946,618.3492495435929,1242.6984990871858
cct6cllh9wtqm6t54r6cw3qr,1.530475995263083,0.0975769168922743,0.04274220347548499,590.3906535022428,1186.7813070044856
t5tt6vltm3939qtmv3qmvw49,0.6290474931269352,0.05572813668794674,0.029964389313905875,380.33333495088823,766.6666699017765
33tm3r9vwlrzs4mzrrvhcqsz,22.727919878258703,2.072437623858967,0.07110871022959263,952.1891209601795,1910.378241920359
